2020.07.17 09:43:59 WARN  web[][i.n.c.n.NioEventLoop] Selector.select() returned prematurely 512 times in a row; rebuilding Selector io.netty.channel.nio.SelectedSelectionKeySetSelector@4faa694a.
2020.07.17 09:43:59 INFO  web[][i.n.c.n.NioEventLoop] Migrated 2 channel(s) to the new Selector.
2020.07.17 12:39:50 INFO  web[][o.s.p.ProcessEntryPoint] Gracefully stopping process
2020.07.17 12:39:52 INFO  web[][o.s.s.n.NotificationDaemon] Notification service stopped
2020.07.17 12:39:53 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database stopped
2020.07.17 12:39:55 INFO  web[][o.s.s.app.WebServer] WebServer stopped
2020.07.17 12:52:00 INFO  web[][o.s.p.ProcessEntryPoint] Starting web
2020.07.17 12:52:02 INFO  web[][o.a.t.u.n.NioSelectorPool] Using a shared selector for servlet write/read
2020.07.17 12:52:03 INFO  web[][o.e.p.PluginsService] no modules loaded
2020.07.17 12:52:03 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.join.ParentJoinPlugin]
2020.07.17 12:52:03 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.percolator.PercolatorPlugin]
2020.07.17 12:52:03 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.transport.Netty4Plugin]
2020.07.17 12:52:04 INFO  web[][o.s.s.e.EsClientProvider] Connected to local Elasticsearch: [127.0.0.1:9001]
2020.07.17 12:52:04 INFO  web[][o.s.s.p.LogServerVersion] SonarQube Server / 8.3.1.34397 / 054c18b025be038b6343115894bf3ade0508f1e9
2020.07.17 12:52:05 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Starting embedded database on port 9092 with url jdbc:h2:tcp://127.0.0.1:9092/sonar
2020.07.17 12:52:05 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database started. Data stored in: /home/aagubuzo/staticAnaProj/static-analyzers/sonarQube/sonarqube-8.3.1.34397/data
2020.07.17 12:52:05 INFO  web[][o.sonar.db.Database] Create JDBC data source for jdbc:h2:tcp://127.0.0.1:9092/sonar
2020.07.17 12:52:05 WARN  web[][o.s.db.dialect.H2] H2 database should be used for evaluation purpose only.
2020.07.17 12:52:07 INFO  web[][o.s.s.p.ServerFileSystemImpl] SonarQube home: /home/aagubuzo/staticAnaProj/static-analyzers/sonarQube/sonarqube-8.3.1.34397
2020.07.17 12:52:07 INFO  web[][o.s.s.u.SystemPasscodeImpl] System authentication by passcode is disabled
2020.07.17 12:52:07 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin C# Code Quality and Security / 8.6.1.17183 / e9f4299031df68d8c4be6ba670fd4c0395eebf76
2020.07.17 12:52:07 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin Git / 1.11.1.2008 / 204dc9b2cc33ec6b780303f926234eed26aea67d
2020.07.17 12:52:07 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin JaCoCo / 1.1.0.898 / f65b288e6c2888393bd7fb72ad7ac1425f88eebf
2020.07.17 12:52:07 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin Java Code Quality and Security / 6.3.0.21585 / ecf8f9f571691771e6789b8e59ff5e6b4ef36ad8
2020.07.17 12:52:07 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarCSS / 1.2.0.1325 / 8dc9fe17b6230c20715d3b4cb34e0b6d02151afd
2020.07.17 12:52:07 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarFlex / 2.5.1.1831 / a0c44437f6abb0feec76edd073f91fec64db2a6c
2020.07.17 12:52:07 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarGo / 1.6.0.719 / edcc6a9e42fcdd30bb6f84a779c6cd7009ec72fd
2020.07.17 12:52:07 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarHTML / 3.2.0.2082 / 997a51b39c4d0a5399c73a8fb729030a69eb392b
2020.07.17 12:52:07 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarJS / 6.2.0.12043 / 8b9c1eb83d6ecfd2eda2cc3798e593900b6735fd
2020.07.17 12:52:07 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarKotlin / 1.5.0.315 / 4ff3a145a58f3f84f1b39846a205a129d742e993
